# https://www.cs.virginia.edu/stream/by_date/Balance.html
# Balance is Peak MFLOPS divided by Triad Bandwidth in MW/s
# ------------------------------------------------------------------------------
# Submission  System                                   Peak       BW     Machine
# Date        Machine ID                      ncpus   MFLOPS    (MW/s)   Balance
# ------------------------------------------------------------------------------
2009.02.19  Generic_Core2Duo_E6750             1     5320.0    573.4      9.3 data
2009.02.02  ScaleMP_XeonE5472_vSMP           128  1536000.0  17785.0     86.4 data
2008.10.24  Fujitsu_SPARC_Enterprise_M3000     1    10080.0    565.9     17.8 data
2008.09.25  Tyan_GT24_Opteron2360SE            8    80000.0   2167.7     36.9 data
2008.07.17  Core2DuoE8200_2GB_DDR3             1    10666.4    982.9     10.9 data
2008.07.17  Core2DuoE8200_2GB_DDR2             1    10666.4    699.2     15.3 data
2008.07.17  Core2DuoE8200_1GB_DDR2             1    10666.4    645.7     16.5 data
2008.07.17  Core2Duo6850_AsusP5E_1GB           1    12000.0    853.4     14.1 data
2008.07.17  Core2Duo6559_smC2SBE_1GB           1     9333.2    690.7     13.5 data
2008.05.30  IBM_Power_575_RHEL                32   601600.0  19829.9     30.3 data
2008.05.15  MSI_MS-6754                        1     5200.0     73.9     70.4 data
2008.05.01  Dell_PowerEdge1950_III             8    90665.6    743.1    122.0 data
2008.04.07  IBM_Power_575                     32   601600.0  20355.5     29.6 data
2008.04.07  IBM_Power_595                     64  1280000.0 100725.6     12.7 data
2008.01.29  Azul_Vega2_7280                  768    92160.0  11424.3      8.1 data
2008.01.03  AMD_AthlonFX2_4600+                1     4800.0    506.5      9.5 data
2007.11.06  IBM_BladeCenter_JS22_AIX           4    64000.0   1932.1     33.1 data
2007.11.05  IBM_BladeCenter_JS22_Express       4    64000.0   1962.6     32.6 data
2007.11.04  AMD_internal_quadcore              4    32000.0   1938.5     16.5 data
2007.11.04  ASUS_KFSN4-DRE                     4    32000.0   2095.0     15.3 data
2007.10.30  IBM_Power_570                      4    75200.0   3675.5     20.5 data
2007.09.25  Supermicro_X7DBE_Xeon5130          4    32000.0    660.0     48.5 data
2007.09.25  Supermicro_X7DBE_Xeon5130          2    16000.0    650.4     24.6 data
2007.09.25  Supermicro_X7DBE_Xeon5130          1     8000.0    512.5     15.6 data
2007.09.25  Supermicro_PDSMi+_Core2Duo6320     1     7466.4    544.5     13.7 data
2007.09.25  ASUS_P5K-SE_Core2Duo6550           1     9333.2    726.7     12.8 data
2007.09.25  ASUS_P5B_Core2Duo6320              1     7466.4    664.6     11.2 data
2007.06.07  AMD_Quad_FX_FX-72                  4    17600.0   1937.2      9.1 data
2007.06.07  AMD_Quad_FX_FX-72                  1     4400.0    948.5      4.6 data
2007.04.17  Intel_Core2_Quad6600               4    38400.0    664.0     57.8 data
2007.04.17  Intel_Core2_Quad6600               3    28800.0    688.9     41.8 data
